week,date,u_wind,ahf,elec_price,token_price,u_stagnation,m_drift,irr_projected,gate_status,tactical_route
1,Jan W1,3.7886131228604154,120.0,44.44694279531526,3.474507122951685,0.42717669777100575,1.0,0.19734591452674868,LOCKED,AVOID (Hurdle Rate Breach)
2,Jan W2,3.2595178258304918,120.0,44.063386501106656,3.6284544784612036,0.42717669777100575,1.0,0.2192129041746912,LOCKED,AVOID (Hurdle Rate Breach)
3,Jan W3,3.1183153684390286,120.0,48.069738916611634,3.6368819223261086,0.42717669777100575,1.0,0.20984736953592786,LOCKED,AVOID (Hurdle Rate Breach)
4,Jan W4,3.1205621478578456,120.0,43.14632922875015,3.4813840065378945,0.42717669777100575,1.0,0.2017349849041255,LOCKED,AVOID (Hurdle Rate Breach)
5,Feb W1,2.3650493004921804,120.0,37.34687902136881,3.436294340734905,0.42717669777100575,1.0,0.2109174325417022,LOCKED,AVOID (Hurdle Rate Breach)
6,Feb W2,3.588548399557164,120.0,40.948675518662306,3.315656870613854,0.42717669777100575,1.0,0.18485919039495238,LOCKED,AVOID (Hurdle Rate Breach)
7,Feb W3,4.279389261352932,120.0,39.35078519465883,3.2637963886718184,0.42717669777100575,1.0,0.18198037277936083,LOCKED,AVOID (Hurdle Rate Breach)
8,Feb W4,2.545151088271926,120.0,45.2701128187517,3.3661335549270195,0.42717669777100575,1.0,0.18020937497873635,LOCKED,AVOID (Hurdle Rate Breach)
9,Mar W1,2.7094038535466183,120.0,45.44369035883946,3.3183425913212226,0.42717669777100575,1.0,0.17307651783072794,LOCKED,AVOID (Hurdle Rate Breach)
10,Mar W2,3.224983750124034,120.0,42.59744524032478,3.4563547027518506,0.42717669777100575,1.0,0.19977809755081757,LOCKED,AVOID (Hurdle Rate Breach)
11,Mar W3,3.3919016651572393,120.0,52.40911273803575,3.3097440081655902,0.42717669777100575,1.0,0.15269639240449703,LOCKED,AVOID (Hurdle Rate Breach)
12,Mar W4,2.667493810017387,120.0,48.29017964841275,3.241343360656615,0.42717669777100575,1.0,0.15436831881837876,LOCKED,AVOID (Hurdle Rate Breach)
13,Apr W1,2.6030883706609416,120.0,37.1613195044809,3.4313295392507133,0.42717669777100575,1.0,0.21073401978357212,LOCKED,AVOID (Hurdle Rate Breach)
14,Apr W2,3.502820968713982,120.0,47.95386631998164,3.2296861235869123,0.42717669777100575,1.0,0.1536367559358219,LOCKED,AVOID (Hurdle Rate Breach)
15,Apr W3,2.5128868057795435,120.0,43.795585217642845,3.198435171761176,0.42717669777100575,1.0,0.1607009569245034,LOCKED,AVOID (Hurdle Rate Breach)
16,Apr W4,4.034273335731349,120.0,43.15744491616085,3.138015579160529,0.42717669777100575,1.0,0.1538645646859915,LOCKED,AVOID (Hurdle Rate Breach)
17,May W1,3.594450381636877,120.0,37.94783937854906,3.244361828956846,0.42717669777100575,1.0,0.18306759570996045,LOCKED,AVOID (Hurdle Rate Breach)
18,May W2,3.7670057733045206,120.0,42.292311998776164,3.1714917719583684,0.42717669777100575,1.0,0.16102524213838823,LOCKED,AVOID (Hurdle Rate Breach)
19,May W3,2.896469486066417,120.0,48.725120476464795,3.313099952249595,0.42717669777100575,1.0,0.1633650623568374,LOCKED,AVOID (Hurdle Rate Breach)
20,May W4,3.9853270762734154,120.0,46.325053725614254,3.1790787624148784,0.42717669777100575,1.0,0.15092432002278725,LOCKED,AVOID (Hurdle Rate Breach)
21,Jun W1,2.736199015596383,120.0,44.257364093344734,3.162082576215471,0.42717669777100575,1.0,0.15424758547277764,LOCKED,AVOID (Hurdle Rate Breach)
22,Jun W2,4.213744017142494,120.0,48.25010328957679,3.090379337591933,0.42717669777100575,1.0,0.13261431095204124,LOCKED,AVOID (Hurdle Rate Breach)
23,Jun W3,3.6169816150285805,120.0,49.014131591568095,3.2027989878419665,0.42717669777100575,1.0,0.1468150572747266,LOCKED,AVOID (Hurdle Rate Breach)
24,Jun W4,4.3228219398795815,120.0,46.44558242203365,3.1454880245394876,0.42717669777100575,1.0,0.1457519214156076,LOCKED,AVOID (Hurdle Rate Breach)
25,Jul W1,1.8281529375461534,120.0,51.258574623256024,3.206417396089005,0.42717669777100575,1.0,0.14102167393438483,LOCKED,AVOID (Hurdle Rate Breach)
26,Jul W2,3.2205955897204794,120.0,45.34818827295268,3.2921902504375224,0.42717669777100575,1.0,0.1696710424266029,LOCKED,AVOID (Hurdle Rate Breach)
27,Jul W3,3.2681968672974926,120.0,37.04972434159643,3.8591760776535504,0.42717669777100575,1.0,0.26775905987154364,UNLOCKED,LONG (Cascade Feasible)
28,Jul W4,0.14001477655548616,120.0,132.58389910203923,3.8857112571511747,0.42717669777100575,1.0517100024298325,-0.017499533632325398,LOCKED,AVOID (Hurdle Rate Breach)
29,Aug W1,3.098945773849278,120.0,171.1333708788415,3.7981729781726354,0.42717669777100575,1.0,-0.3675246728139536,LOCKED,AVOID (Hurdle Rate Breach)
30,Aug W2,0.3289547399937698,120.0,167.93033246032448,3.3601737997829764,0.42717669777100575,1.0173945169721232,-0.99,LOCKED,AVOID (Hurdle Rate Breach)
31,Aug W3,0.2026809034926846,120.0,169.28502149579214,3.464623456025973,0.42717669777100575,1.0402021145451796,-0.99,LOCKED,AVOID (Hurdle Rate Breach)
